Tag,client_id,msg_size,repetitions,worker_count,Throughput_in_MiB/second,bytes_received,delta_us,lib,protocoll
G,1,256,8192,zmq-4,7.307,208845,27257,zmq,tcp
G,1,256,8192,zmq-4,7.731,223693,27594,zmq,tcp
G,1,256,8192,zmq-4,17.389,418253,22938,zmq,tcp
G,3,512,8192,zmq-4,14.976,418509,26651,zmq,tcp
G,3,512,8192,zmq-4,14.240,418509,28029,zmq,tcp
G,4,512,8192,zmq-4,14.248,418509,28012,zmq,tcp
G,4,512,8192,zmq-4,14.455,418509,27612,zmq,tcp
G,3,512,8192,zmq-4,14.507,418509,27512,zmq,tcp
G,2,512,8192,zmq-4,13.911,418509,28691,zmq,tcp
G,2,512,8192,zmq-4,14.206,418509,28096,zmq,tcp
G,3,512,8192,zmq-4,14.325,418509,27862,zmq,tcp
G,2,512,8192,zmq-4,15.323,451277,28087,zmq,tcp
G,4,1024,8192,zmq-4,34.770,837837,22980,zmq,tcp
G,4,1024,8192,zmq-4,28.408,837837,28127,zmq,tcp
G,4,1024,8192,zmq-4,28.597,837837,27941,zmq,tcp
G,1,1024,8192,zmq-4,28.207,837837,28327,zmq,tcp
G,1,1024,8192,zmq-4,27.955,837837,28583,zmq,tcp
G,4,1024,8192,zmq-4,28.745,837837,27797,zmq,tcp
G,4,1024,8192,zmq-4,28.206,837837,28328,zmq,tcp
G,4,1024,8192,zmq-4,28.152,837837,28382,zmq,tcp
G,2,1024,8192,zmq-4,28.720,837837,27821,zmq,tcp
G,3,1024,8192,zmq-4,30.455,911565,28545,zmq,tcp
G,1,2048,8192,zmq-4,64.469,1676493,24800,zmq,tcp
G,4,2048,8192,zmq-4,54.901,1676493,29122,zmq,tcp
G,2,2048,8192,zmq-4,56.722,1676493,28187,zmq,tcp
G,1,2048,8192,zmq-4,56.259,1676493,28419,zmq,tcp
G,3,2048,8192,zmq-4,55.090,1676493,29022,zmq,tcp
G,3,2048,8192,zmq-4,54.698,1676493,29230,zmq,tcp
G,3,2048,8192,zmq-4,57.242,1676493,27931,zmq,tcp
G,2,2048,8192,zmq-4,58.232,1676493,27456,zmq,tcp
G,2,2048,8192,zmq-4,56.682,1676493,28207,zmq,tcp
G,2,2048,8192,zmq-4,60.715,1840333,28907,zmq,tcp
G,1,4096,8192,zmq-4,130.124,3353805,24580,zmq,tcp
G,3,4096,8192,zmq-4,110.276,3353805,29004,zmq,tcp
G,1,4096,8192,zmq-4,109.337,3353805,29253,zmq,tcp
G,3,4096,8192,zmq-4,113.528,3353805,28173,zmq,tcp
G,1,4096,8192,zmq-4,119.980,3353805,26658,zmq,tcp
G,4,4096,8192,zmq-4,117.236,3353805,27282,zmq,tcp
G,4,4096,8192,zmq-4,111.666,3353805,28643,zmq,tcp
